time_step,fixed_reward,fixed_cumulative_reward,fixed_grid_import_Building_3_kwh,fixed_grid_import_kwh,fixed_cumulative_grid_import_kwh,q_learning_reward,q_learning_cumulative_reward,q_learning_grid_import_Building_3_kwh,q_learning_grid_import_kwh,q_learning_cumulative_grid_import_kwh,reward_delta_q_minus_fixed,grid_import_delta_fixed_minus_q,cumulative_reward_delta_q_minus_fixed,cumulative_grid_import_delta_fixed_minus_q
0,-3.1730923652648926,-3.1730923652648926,1.2692369222640991,1.2692369222640991,1.2692369222640991,-3.1730923652648926,-3.1730923652648926,1.2692369222640991,1.2692369222640991,1.2692369222640991,0.0,0.0,0.0,0.0
1,-1.0500664710998535,-4.223158836364746,0.4200266003608703,0.4200266003608703,1.6892635226249697,-1.0500664710998535,-4.223158836364746,0.4200266003608703,0.4200266003608703,1.6892635226249697,0.0,0.0,0.0,0.0
2,-1.0441349744796753,-5.267293810844421,0.4176539778709411,0.4176539778709411,2.10691750049591,-1.0441349744796753,-5.267293810844421,0.4176539778709411,0.4176539778709411,2.10691750049591,0.0,0.0,0.0,0.0
3,-1.0514752864837646,-6.318769097328186,0.4205901026725769,0.4205901026725769,2.5275076031684875,-1.0514752864837646,-6.318769097328186,0.4205901026725769,0.4205901026725769,2.5275076031684875,0.0,0.0,0.0,0.0
4,-1.0991977453231812,-7.417966842651367,0.4396790862083435,0.4396790862083435,2.967186689376831,-1.0991977453231812,-7.417966842651367,0.4396790862083435,0.4396790862083435,2.967186689376831,0.0,0.0,0.0,0.0
5,-1.2727737426757812,-8.690740585327148,0.5091094970703125,0.5091094970703125,3.476296186447144,-1.2727737426757812,-8.690740585327148,0.5091094970703125,0.5091094970703125,3.476296186447144,0.0,0.0,0.0,0.0
6,-2.3281569480896,-11.018897533416748,0.931262731552124,0.931262731552124,4.407558917999268,-2.3281569480896,-11.018897533416748,0.931262731552124,0.931262731552124,4.407558917999268,0.0,0.0,0.0,0.0
7,-1.4851012229919434,-12.503998756408691,0.5940405130386353,0.5940405130386353,5.001599431037903,-1.4851012229919434,-12.503998756408691,0.5940405130386353,0.5940405130386353,5.001599431037903,0.0,0.0,0.0,0.0
8,-4.590189568533333,-17.094188324942024,1.818398714065552,1.818398714065552,6.819998145103455,-4.590189568533333,-17.094188324942024,1.818398714065552,1.818398714065552,6.819998145103455,0.0,0.0,0.0,0.0
9,-4.175551915278751,-21.269740240220777,1.6428214311599731,1.6428214311599731,8.462819576263428,-4.175551915278751,-21.269740240220777,1.6428214311599731,1.6428214311599731,8.462819576263428,0.0,0.0,0.0,0.0
