episode,fixed_energy,ql_energy,energy_sav_%,fixed_cost,ql_cost,cost_sav_%
1,570.96,698.075,-22.26,139.114,124.1147,10.78
2,603.179,457.925,24.08,131.7544,51.9073,60.6
3,693.875,438.157,36.85,192.8327,42.3957,78.01
4,598.303,407.637,31.87,140.0407,42.1866,69.88
5,633.9,290.277,54.21,174.7183,-40.7874,123.34
6,404.672,413.521,-2.19,74.5615,13.4595,81.95
7,525.527,329.04,37.39,124.921,-33.0928,126.49
8,534.088,360.86,32.43,129.6036,4.074,96.86
9,586.457,290.594,50.45,156.7309,-17.7664,111.34
10,435.621,514.932,-18.21,68.0642,89.4995,-31.49
11,402.066,337.559,16.04,72.8076,-21.1254,129.02
12,414.457,481.976,-16.29,80.1431,67.3745,15.93
13,404.565,370.064,8.53,100.0831,18.8506,81.17
14,339.339,372.677,-9.82,58.0242,40.1244,30.85
15,428.261,413.909,3.35,100.5307,50.2012,50.06
16,359.059,522.107,-45.41,76.9449,93.1432,-21.05
17,441.442,762.964,-72.83,104.467,194.2757,-85.97
18,530.307,555.146,-4.68,128.3736,120.6881,5.99
19,591.267,849.8,-43.73,159.7744,251.1198,-57.17
20,631.675,729.302,-15.46,172.0394,193.8976,-12.71
21,837.598,785.642,6.2,226.4577,190.1427,16.04
22,751.539,729.656,2.91,200.2944,187.1467,6.56
23,731.143,690.401,5.57,199.3448,146.4586,26.53
24,744.159,708.595,4.78,212.798,140.3135,34.06
25,769.609,781.89,-1.6,202.6433,198.5419,2.02
26,855.459,673.241,21.3,206.3729,146.5987,28.96
27,559.896,698.373,-24.73,130.2106,185.7287,-42.64
28,546.583,481.487,11.91,131.7896,89.5107,32.08
29,502.198,571.285,-13.76,104.8329,131.2935,-25.24
30,708.559,624.8,11.82,160.4931,150.5285,6.21
