episode,fixed_energy,ql_energy,energy_sav_%,fixed_cost,ql_cost,cost_sav_%
1,570.96,635.225,-11.26,139.114,137.1746,1.39
2,603.179,638.021,-5.78,131.7544,129.1344,1.99
3,693.875,718.612,-3.57,192.8327,187.7853,2.62
4,598.303,620.983,-3.79,140.0407,132.5818,5.33
5,633.9,673.492,-6.25,174.7183,166.7178,4.58
6,404.672,448.814,-10.91,74.5615,71.1872,4.53
7,525.527,569.25,-8.32,124.921,116.6079,6.65
8,534.088,568.125,-6.37,129.6036,122.6376,5.37
9,586.457,609.659,-3.96,156.7309,145.3746,7.25
10,435.621,467.765,-7.38,68.0642,61.4497,9.72
11,402.066,434.724,-8.12,72.8076,64.3064,11.68
12,414.457,451.314,-8.89,80.1431,74.1774,7.44
13,404.565,471.003,-16.42,100.0831,94.8687,5.21
14,339.339,391.529,-15.38,58.0242,54.7566,5.63
15,428.261,459.968,-7.4,100.5307,95.3617,5.14
16,359.059,422.201,-17.59,76.9449,72.1761,6.2
17,441.442,506.278,-14.69,104.467,99.2794,4.97
18,530.307,568.149,-7.14,128.3736,120.2966,6.29
19,591.267,636.842,-7.71,159.7744,152.106,4.8
20,631.675,667.444,-5.66,172.0394,167.013,2.92
21,837.598,887.23,-5.93,226.4577,218.4417,3.54
22,751.539,795.878,-5.9,200.2944,192.2387,4.02
23,731.143,786.56,-7.58,199.3448,195.1517,2.1
24,744.159,784.598,-5.43,212.798,203.0487,4.58
25,769.609,808.05,-4.99,202.6433,198.1456,2.22
26,855.459,891.368,-4.2,206.3729,199.9494,3.11
27,559.896,602.406,-7.59,130.2106,123.8348,4.9
28,546.583,596.888,-9.2,131.7896,128.4545,2.53
29,502.198,542.666,-8.06,104.8329,96.3242,8.12
30,708.559,724.717,-2.28,160.4931,152.9484,4.7
31,652.475,674.279,-3.34,123.1359,116.7275,5.2
32,434.138,450.352,-3.73,49.0852,42.1461,14.14
33,410.775,426.591,-3.85,35.2733,30.0308,14.86
34,376.876,423.722,-12.43,30.8494,23.1804,24.86
35,297.644,343.222,-15.31,-51.2517,-57.9279,N/A
36,363.529,403.992,-11.13,-3.7697,-10.3793,N/A
37,298.215,345.986,-16.02,-47.722,-58.6387,N/A
38,320.499,358.813,-11.95,-12.6837,-22.3648,N/A
39,269.042,316.667,-17.7,-22.0606,-31.1512,N/A
40,462.507,491.438,-6.26,84.4217,75.5146,10.55
41,297.139,341.624,-14.97,-30.6125,-34.5815,N/A
42,423.88,489.426,-15.46,52.4306,47.9807,8.49
43,320.078,379.919,-18.7,9.5303,3.6324,61.89
44,309.419,378.818,-22.43,19.8625,17.39,12.45
45,368.27,396.109,-7.56,34.8061,24.8385,28.64
46,479.219,516.145,-7.71,75.9934,72.1269,5.09
47,664.549,729.573,-9.78,178.0003,174.9945,1.69
48,477.56,522.113,-9.33,102.2512,99.0995,3.08
49,780.081,827.744,-6.11,237.2187,229.7944,3.13
50,654.51,691.894,-5.71,179.484,172.8357,3.7
51,672.928,701.752,-4.28,180.0717,178.422,0.92
52,641.319,700.71,-9.26,168.5687,167.0233,0.92
