episode,fixed_energy,fixed_cost,heuristic_energy,heuristic_cost,energy_pv_energy,energy_pv_cost,energy_pv_energy_sav_%,energy_pv_cost_sav_%,cost_energy,cost_cost,cost_energy_sav_%,cost_cost_sav_%,balanced_energy,balanced_cost,balanced_energy_sav_%,balanced_cost_sav_%
1,570.9602,139.114,696.7937,146.5576,611.1477,136.8349,-7.0386,1.6383,678.4892,144.5338,-18.833,-3.8959,685.8404,152.2195,-20.1205,-9.4207
2,603.1792,131.7544,702.1788,124.4359,615.5363,134.3518,-2.0487,-1.9714,642.3052,133.2758,-6.4866,-1.1547,698.9728,147.1872,-15.8814,-11.7133
3,693.875,192.8327,830.0209,191.9962,720.1638,201.9119,-3.7887,-4.7083,713.2813,190.7476,-2.7968,1.0813,770.893,199.928,-11.0997,-3.6795
4,598.3027,140.0407,704.3262,142.9477,615.9209,143.3269,-2.9447,-2.3466,582.436,128.0353,2.652,8.5728,628.0276,127.9667,-4.9682,8.6218
5,633.9005,174.7183,757.2255,186.0466,669.7091,180.0979,-5.6489,-3.079,636.1654,170.0503,-0.3573,2.6717,686.5911,173.5664,-8.3121,0.6593
6,404.6716,74.5615,526.4012,84.2303,403.5046,72.0685,0.2884,3.3435,401.8453,61.0839,0.6984,18.0758,405.1585,63.6934,-0.1203,14.5759
7,525.5268,124.921,693.9028,129.1402,550.3934,124.1835,-4.7318,0.5903,515.6771,113.2873,1.8743,9.3128,570.3455,120.107,-8.5283,3.8536
8,534.0877,129.6036,643.4995,135.4021,541.4357,123.5891,-1.3758,4.6407,569.6106,118.4704,-6.6511,8.5901,602.6985,126.7115,-12.8464,2.2314
9,586.4574,156.7309,706.7252,153.8118,593.196,154.5412,-1.149,1.3971,571.8909,138.7005,2.4838,11.5041,586.7927,144.7339,-0.0572,7.6545
10,435.6208,68.0642,565.8041,75.9714,368.8114,55.4984,15.3366,18.4618,382.3799,35.6248,12.2218,47.66,374.8757,45.488,13.9445,33.169
11,402.0656,72.8076,516.6979,84.9766,340.765,63.6097,15.2464,12.6331,358.4869,43.1698,10.8387,40.707,367.8717,53.2447,8.5046,26.8693
12,414.4569,80.1431,560.2508,84.1083,380.3333,71.2578,8.2333,11.0868,377.6284,47.5536,8.886,40.6642,390.3389,62.5208,5.8192,21.9885
13,404.565,100.0831,609.8906,121.3928,448.8451,85.5922,-10.9451,14.4789,416.6183,76.1542,-2.9793,23.9091,421.5212,86.8267,-4.1912,13.2454
14,339.3385,58.0242,530.8641,74.5629,319.913,46.4157,5.7245,20.0064,319.8458,31.6043,5.7443,45.5326,316.6941,42.8294,6.6731,26.187
15,428.2614,100.5307,589.6832,107.7607,424.1709,81.9606,0.9551,18.4721,394.5456,74.7631,7.8727,25.6316,411.4662,83.0522,3.9217,17.3863
16,359.0594,76.9449,472.0805,94.59,383.1031,66.6432,-6.6963,13.3883,357.1696,54.6031,0.5263,29.0361,367.1413,64.3761,-2.2508,16.3348
17,441.4415,104.467,645.1139,126.171,461.3161,101.583,-4.5022,2.7607,465.6899,76.3778,-5.493,26.8881,451.1739,86.1385,-2.2047,17.5447
18,530.3073,128.3736,656.2441,139.1401,528.6689,122.3548,0.309,4.6886,517.2798,111.04,2.4566,13.5025,541.7657,114.3391,-2.1607,10.9325
19,591.2675,159.7744,685.4066,169.6244,601.9173,149.7232,-1.8012,6.2909,599.8225,142.2356,-1.4469,10.9773,606.2911,150.5567,-2.5409,5.7692
20,631.6747,172.0394,730.2561,176.6061,642.1881,165.5037,-1.6644,3.7989,636.5759,154.0161,-0.7759,10.4763,666.1879,161.7275,-5.4638,5.9939
21,837.5977,226.4577,967.9455,235.9838,841.0784,221.162,-0.4156,2.3385,871.4931,216.5927,-4.0467,4.3563,856.0803,212.3589,-2.2066,6.2258
