episode,training_reward,training_energy,training_cost
1,-1810.3684955998033,762.238578109076,178.92201090489516
2,-1830.028226203488,836.0240795678684,167.1433562479557
3,-1908.2686746999439,885.8059389926493,218.69389425055124
4,-1803.932783266819,781.3050628799224,179.0644536221423
5,-1885.5824137408842,854.2589097414166,214.3613227957394
6,-1617.449427281462,620.0951070997398,102.6464915740653
7,-1670.8865628712233,713.7828447036437,160.12890115150117
8,-1760.1102679876835,739.577402164307,163.80614512458857
9,-1845.4850089270778,784.3765835258265,192.80880052747654
10,-1551.478936568172,645.000602505866,97.8857683059941
11,-1625.4052517475793,607.7286941054166,105.11391846895502
12,-1648.329738378409,625.199185595382,103.30556958063971
13,-1688.556696369057,647.8572412293862,125.04919834526822
14,-1652.0024849129547,581.6513355165748,95.15865331648847
15,-1550.4503324213788,579.1627652843001,121.74264601296575
16,-1549.5564420991718,548.7479299204424,108.39054987295783
17,-1647.9816626372865,632.7966825112317,134.5996056329759
18,-1670.2313304651616,714.8937818582627,152.42248525874368
19,-1842.0009343193105,778.2455387450755,181.17488084739307
20,-1824.0847089478004,808.3787493556738,196.1874749865383
21,-2141.878920014412,1018.8081566295587,255.57973061013035
22,-1925.380617132187,897.3462465703487,230.9831218603067
23,-1982.4988769196316,919.309605790535,229.14696215838194
24,-2003.0043689324148,932.7001137565821,247.48160839205957
25,-1985.780359331365,953.8783265681697,231.18456333939645
26,-2058.2721037975216,1005.0427829687429,235.11090319560918
27,-1778.1236787352616,770.4934047678245,160.3759591203408
28,-1692.6566685392584,745.9709430991951,149.1601869924222
29,-1609.3500925621681,698.927570277378,135.12664469041397
30,-1877.6266570650785,896.5692969784141,190.961700467451
31,-1675.2520153264536,805.1046146245208,148.45734100352274
32,-1366.3600857210872,559.5257425355667,69.28569210663409
33,-1338.3178172133883,538.7842080572154,57.36711358971661
34,-1412.748873026048,593.1240234817565,54.75458497799467
35,-1137.6075327253157,425.2029708363116,-29.214787167380564
36,-1327.4895794640404,525.4621828976274,26.04585006607622
37,-1200.9646564629224,478.7096921131015,-31.23590330918423
38,-1194.5175907296134,474.5554532688111,4.679255116265267
39,-1139.6982697293495,396.0489388798178,-0.9203939930164413
40,-1468.2700388809844,596.2999313115499,86.9735557745932
41,-1154.1708030916202,432.8679889981263,-8.37659429807236
42,-1435.611277060517,579.503157125047,77.1136502137279
43,-1193.6605449755314,448.1229919487556,30.970858203599022
44,-1225.4191654715748,454.1860480551413,39.85575701862413
45,-1368.089103205278,517.4403117997572,54.5212811874153
46,-1517.7175610056547,651.6847385516894,94.603554357998
47,-1791.1496010552717,826.8209294192493,206.7268246992753
48,-1477.746584338024,656.2986581623554,123.60815273190383
49,-1960.7282653899495,973.7340283691883,266.84096846927423
50,-1760.0928775533282,832.7391756549478,206.34312278835569
51,-1798.2002285652609,855.8703938946128,208.19509180966998
52,-1837.6633367778738,813.8640549816191,194.45644626373542
53,-1697.561349917714,762.5710144922499,167.8057879141988
54,-1712.0664447824297,786.4015741199255,161.6155982569253
55,-1774.5729761874322,862.0900399824604,210.7955679463339
56,-1689.091126557576,737.2996830736496,165.7590753667538
57,-1666.635820816998,770.5806648451835,193.61618078377796
58,-1375.6212435596487,593.5114616709761,87.15359535813332
59,-1448.5551338030627,624.3771671461865,135.51251846633136
60,-1619.349843670605,714.2276780398287,152.56582597190007
61,-1627.6982645150676,762.0515133996952,182.0306285296124
62,-1228.2680062589843,529.7044639772464,72.87884580376812
63,-1288.5397019137104,528.9928554667949,94.16793797323017
64,-1314.8929935717033,539.0766597408801,97.69713394415278
65,-1350.1334693789754,567.8779966090798,116.96247448677764
66,-1215.1477984046992,497.63974102468114,73.63316187724543
67,-1293.7195533266574,562.7693701237408,108.7079360458176
68,-1315.3253628623254,514.2276612602865,98.33290052532462
69,-1335.4234939794605,591.3271025106973,118.82394488353668
70,-1388.8406420164908,624.3412582611862,145.8433526326783
71,-1530.8796766796956,720.1899454361499,180.68509672043157
72,-1469.3710089211083,724.9403968458305,189.78265731840318
73,-1741.8515154915037,938.2824140345417,245.67852913078397
74,-1683.7705992809688,856.8524399921298,229.85814171738457
75,-1678.5491234464196,849.0560180712491,217.67483614140656
76,-1729.4960407167114,878.0370338167995,229.33599792895257
77,-1790.005547257806,893.1396807692945,221.29581732529874
78,-1816.724912942457,970.4004755206406,227.35369562533702
79,-1501.2664221171956,711.7123634878064,166.08794358454102
80,-1456.5756379358425,685.5775031066709,151.03626895381484
81,-1193.0120601010628,583.1966494473334,110.63738711803434
82,-1536.1580803624754,785.4370071839076,171.80231553368503
83,-1458.4665195145901,748.4047373578692,132.68037779495558
84,-976.8880237227401,465.96082742791623,51.8925821892517
85,-1004.1562286562497,487.0189009718597,44.5129677777295
86,-993.6894743077494,444.67512646414343,37.985337468453935
87,-773.083272154946,344.32268214658006,-44.37786293796753
88,-807.8848732699377,405.06125622892523,2.902582239306481
89,-717.2569696816953,332.1511388300359,-42.5740087571499
90,-872.8553073865402,374.362666568486,4.621920652114785
91,-844.236752794592,354.3000330300606,-7.65386078311354
92,-1119.0636957652514,514.3592272924895,96.67950265597446
93,-878.9213708461864,400.82152001926517,-26.581682879173492
94,-1101.8378022078152,495.7466569186437,62.205977310080875
95,-956.3783161172812,397.6750977988778,17.28134099264402
96,-905.2513704403123,363.93117667895274,30.871487454603646
97,-1063.5180945386553,437.08734284481034,55.254001874993264
98,-1265.668054826658,576.96843454556,88.82795915638722
99,-1540.4360937778283,766.5153038986027,181.1597175525967
100,-1272.7194883581255,564.2245615385473,122.00349005678436
101,-1622.3551567363738,877.9881336987019,257.5207662357134
102,-1541.2747589843711,762.7183415517211,197.56643165863352
103,-1523.865022703931,782.1077478602529,182.51595372945303
104,-1586.8204039619868,761.4240466691554,185.25038628090988
105,-1574.658091622812,692.0653493449063,154.73532298152838
106,-1395.6706556562294,686.5412653865052,161.1875307876013
107,-1593.0955115217719,812.716300654225,214.452413807041
108,-1419.8639292065236,693.5628484522442,158.9554529962578
109,-1482.8138442590598,736.9224555914981,186.32948948807973
110,-1172.2637106881991,503.8531902942341,84.68536322630825
111,-1315.038072507387,609.1993672720847,124.27498366872646
112,-1285.632975208058,615.5381042782643,142.1632530415382
113,-1378.2814366095984,682.7654959156636,171.0592499374248
114,-969.8216675507111,459.2471801175477,77.51944819869816
115,-1016.2728705536015,479.2400524808579,87.04853523819418
116,-1022.0563378707063,489.8151202587154,90.5846083007625
117,-1117.9615357507457,525.5784036451928,114.82493071076252
118,-912.2509233441388,420.2129640815508,70.38487631498019
119,-985.2371845502365,482.27519420213764,105.6939138489154
120,-1013.6920177733931,438.81414221995203,89.39184073928114
121,-1041.5848861502827,490.92218849406345,114.55339513636686
122,-1152.3403466738846,583.1148719500707,139.03543329451716
123,-1325.4435210475065,688.6601368715726,181.13310964481363
124,-1356.7346100443876,726.8821069603096,197.1924421575716
125,-1594.433406036147,890.3100437237881,232.68763313241652
126,-1543.972409243659,834.1413133814931,221.5573114939034
127,-1546.0972128493293,816.8279845584184,211.05029479967158
128,-1592.5093726784733,843.0780975595117,248.4321591497719
129,-1535.4784664480346,842.9558661915362,216.76265995908722
130,-1611.3444852552711,933.8639723413088,222.1684325615724
131,-1235.3200234087262,620.3431963655136,141.86083608967084
132,-1333.1269088777256,670.1658889150883,146.396043898539
133,-1176.1979554301943,581.5916486340761,121.70292069106091
134,-1306.4823087741054,736.7291231937706,171.05113193616853
135,-1201.9191250121305,674.2025172858307,146.5431777906019
136,-798.4340255392734,412.5661981271114,50.69500659775804
137,-867.0894952081911,436.1897212432232,40.27507895010058
138,-877.6654308193105,415.27189978539946,41.28035777307581
139,-580.9738645014031,277.72397588625654,-41.702519437226236
140,-741.8687323076567,380.4110448002257,3.123645816730983
141,-590.7542431978023,291.6970638470351,-33.97356679057926
142,-656.0075282857567,322.62732349708676,-7.630882522906177
143,-665.5833831531702,313.0966678800729,-19.841220830437905
144,-1016.8028592459499,511.76853103265285,93.92095720210736
145,-695.9025707164518,334.51163973917636,-30.685598263067437
146,-969.3058323997925,460.8564704879131,63.11838205200346
147,-767.9588058335262,350.340648023563,16.51498140281056
148,-840.1600570610372,366.9022707759449,32.219179033828745
149,-883.5531000421662,412.3718973947689,41.641418794613855
150,-1073.5262934899808,527.4108109343183,90.3672077739389
151,-1419.6095991731995,728.1829893719405,188.38812139650145
152,-1101.8957043065504,505.6773532256484,115.82913424336584
153,-1525.2042527661476,872.3384620919824,242.53043774422258
154,-1417.2849765403573,743.3557229489088,193.892612826181
155,-1396.1752002131186,766.5806657597423,198.11692754062824
156,-1483.5752382616702,761.1112560033798,189.14307029818883
157,-1424.1121959529182,687.0422582846741,154.00275659275266
158,-1167.452994143735,635.6643304688615,138.84079247455304
159,-1467.5500104583798,783.412255118601,201.35834132845048
160,-1213.883951587905,650.2485631332943,146.8092761445373
161,-1267.4224895765817,705.4415273722261,169.90576562588103
162,-1025.4217960615222,491.6025984508451,86.9788777041831
163,-1138.1282374727944,580.9533178060067,127.61844808523392
164,-1229.5635630275387,624.744436616251,140.65782404480717
165,-1256.197882535484,647.9863977094966,168.63964005501703
166,-860.3997041895689,435.94190963162305,68.78302502049539
167,-880.3821092538888,430.6825798567228,73.08802760926007
168,-1003.1561868453285,480.09519503521426,83.33425578007925
169,-1082.3986917016593,521.2274395790874,107.17205597540465
170,-852.403037178826,403.8821209443023,70.559344917038
171,-923.2160196814373,460.2120608076756,99.0347252228999
172,-837.2257916011129,408.57128685084876,77.43446767099472
173,-946.6176955556148,481.49759031598677,108.41847072758537
174,-1123.0036030390795,557.5312907226778,134.9265696437194
175,-1206.4730996866776,641.7083833578678,168.5074337614815
176,-1253.916321196434,671.2361755897532,176.7166153982146
177,-1551.4217116987813,905.8496975419782,241.55032746577646
178,-1417.809402610511,810.2368498444557,214.59365083300509
179,-1534.2247849059056,835.11801325099,221.4035305797002
180,-1467.5218255542218,828.192358803004,230.99142847408075
181,-1586.1579344315778,866.8153056012226,220.7979653730868
182,-1567.573230360668,927.2289725871516,229.4811370765088
183,-1253.4533405859556,647.1150722746947,149.50425582641853
184,-1252.5762215924738,651.7349103688176,155.96815099362124
185,-1060.9007330931322,557.6703009173671,125.62073411717662
186,-1345.0748042894256,751.374076298438,175.9090493356016
187,-1142.9541716872607,646.6394218007231,134.11407290055126
188,-780.193921583382,433.57667373309596,55.70836378397689
189,-817.5137255929413,414.23287711665034,35.813063587935176
190,-748.1623140365294,388.52811466555113,36.422804759300774
191,-545.6147559640483,304.3786635990441,-47.28594267896451
192,-665.6763704418656,361.47437547523293,-9.848534162757321
193,-535.0581216567688,287.19751392869273,-38.151574720601694
194,-647.6612170346009,338.86808256059885,-5.4215242737554945
195,-586.2343966916363,306.57117872743015,-12.454484846411356
196,-928.3760718980797,475.4302545005413,87.9987030172087
197,-705.7669269778352,342.41270563954646,-24.328899531870935
198,-952.5172618977668,473.38025871272026,62.04646835957364
199,-671.9671524617826,347.01331125677757,18.97421256080887
200,-751.3743964748318,345.7033599234186,24.31755295868016
201,-839.283775497517,388.5164966294542,44.39854978147196
202,-1034.7697948697987,513.3176421350372,81.25312561156686
203,-1429.3739059507377,754.2226954819635,195.75529615553387
204,-1081.6491658605908,522.0469791116193,120.1249815664487
205,-1519.5738379482927,850.1702304929495,241.9231074564159
206,-1423.1546839700638,741.7788485586643,199.2397965470882
207,-1367.9827369703737,728.7202978506684,194.426230898418
208,-1420.9374516244975,753.0703258737922,185.77031198792974
209,-1341.0241281726528,660.7342507981738,154.00122352924043
210,-1228.0886606445906,645.3062944337726,147.87145439721644
211,-1340.4670658070038,748.9414189839736,199.8734614418936
212,-1262.9505556137358,645.8622955587903,151.4534444141683
213,-1266.711228721998,690.8986961431801,183.72982214333024
214,-991.1141939319227,469.39931560563855,89.0585852067743
215,-1055.3172090287835,552.1476036560481,125.6779009597326
216,-1148.4490426078669,581.5133143674066,142.202083638482
217,-1266.675067083638,654.4877999069015,165.27969244000002
218,-901.1859384451964,450.8687823362071,64.33199550857249
219,-832.3580337002762,412.71854797681544,82.144599714458
220,-953.0508544276969,483.8198476820206,80.3571431873437
221,-894.9694041733187,462.0946169208014,100.29657057790692
222,-726.0732529616259,374.6392415187769,68.64144246804898
223,-912.4440431693057,469.9653962028043,112.85799304231959
224,-808.5260525640406,380.30027448779197,83.65978115559145
225,-949.8089377095558,485.92510946229,115.907562658409
226,-1072.2188272077854,584.4438107527749,143.34345388945442
227,-1170.2338820866003,632.3328577110248,164.50671740276724
228,-1227.822705404693,680.9515627031456,180.68207801125052
229,-1500.8794650873842,907.3648556681089,242.37870352135516
230,-1450.3826381278038,825.1740363910794,213.50414093886502
231,-1476.8335795745209,823.4473149547113,210.80604150070536
232,-1479.259823579044,833.1895678341389,225.77898006644682
233,-1520.786222877204,854.5238577201962,220.75642910029273
234,-1565.7081375751138,926.095051927606,225.69053004460756
235,-1180.1689101312875,620.0007971414575,147.7951204020631
236,-1315.3335383440772,670.1360781341946,141.94811892376362
237,-1001.7533560759078,543.9333544791622,123.32792936784409
238,-1324.4483994868597,761.5700256254058,175.2946262912592
239,-1178.1908012219906,678.3572704606963,136.56026717087866
240,-728.9027327466198,416.8852852266282,52.06607121828711
241,-745.5060537813233,395.1488371491432,40.42380354175111
242,-713.3369127650388,360.3919284529984,33.238454529326404
243,-458.53460854036103,266.0593288011114,-39.942637495931194
244,-616.9737250387017,353.1430737025779,7.518078403750966
245,-519.9573822697743,283.3837810964696,-31.7793036638719
246,-531.3772605215053,318.67532157923097,-6.015120937945323
247,-513.5073334342608,270.8099808341094,-27.736177898917532
248,-927.5764605127738,488.39601848520726,87.84981597389819
249,-604.4657566291726,309.837355383924,-25.266307298922015
250,-953.6820106597112,475.47241682423106,59.688773852729256
251,-673.2440594351897,330.31060855209637,20.469753183750203
252,-697.2128618906331,316.81247114686755,25.999145248894134
253,-774.7784504999748,373.2376489946805,36.1367043266856
254,-911.4529089359531,468.01183606736356,71.47283393350727
255,-1363.06590357203,733.9910796806216,193.03632955788635
256,-1066.2747821744715,504.66935196332633,108.70252499060007
257,-1476.9090156672899,849.930965565145,237.13828616921091
258,-1365.1119686255606,735.837773449719,192.35630663622578
259,-1397.3413028796756,744.912270732224,200.87484319973737
260,-1335.1663857254384,712.4996720850468,183.06593490833438
261,-1341.746732109856,676.6192311175947,158.57853885819281
262,-1172.7721656492934,617.8964429793414,133.3828096681391
263,-1358.5610506785094,736.5268170917407,200.12869061756646
264,-1238.2991380258754,662.0833073973174,155.45872549057322
265,-1256.6391624076475,685.5323315430433,176.92566734418506
266,-940.6223705696568,466.6667066582013,83.79241800439195
267,-1060.5227419920554,566.9504955947609,139.6825160443475
268,-1118.5420977654414,595.547984526897,122.08281755124503
269,-1192.898748146311,614.3078944246494,156.6577048736454
270,-785.1642437966908,420.2472468027217,67.60982320992036
271,-768.8201277595946,391.6285158059419,75.64773403641661
272,-942.65579562442,466.09990911581076,77.49981604781476
273,-904.6645755686424,457.2035130568539,96.66215068360141
274,-720.6856909857938,343.0047072105739,56.875485778473305
275,-889.8380274965883,442.0785087323701,103.22232038040718
276,-796.4235620264999,379.9108151047118,80.33469215785419
277,-891.3503681146955,477.2626044912362,118.55840142161439
278,-1008.4235857355018,555.3589197237204,137.2256817810231
279,-1179.598070909741,668.3408611545043,165.9342382324276
280,-1186.6285383700301,672.4319327962826,180.3062884491267
281,-1496.1006974020709,904.9937550542616,236.55001986867293
282,-1355.533551580608,793.9023951850832,207.45897951709776
283,-1475.1863025171608,821.5302790343986,214.39324983136572
284,-1450.0116303189843,829.8890711441636,227.3474169530382
285,-1460.725107830084,835.9932364735271,220.33120505837647
286,-1583.174103757983,916.2845255008604,217.57209442766305
287,-1159.277737003842,601.4295758322278,142.78820193102817
288,-1215.300239237897,629.6079114917222,151.22684465690855
289,-992.9119963612499,544.9089150270447,112.24466458393726
290,-1302.6165413317392,756.0736213352066,172.07613275840413
291,-1133.6878633417014,666.0164664192062,135.94110596261132
292,-771.5206919325672,428.1460334743315,52.478444809377834
293,-703.6223181898893,388.3350131213665,46.13823631068226
294,-771.0340739065932,389.94020806491375,37.59603523196958
295,-478.0967660480555,280.0064101192552,-42.03560146624013
296,-682.2156558225983,381.5512904297374,9.171259713473352
297,-515.3309592824775,302.02163679210463,-30.011849260691747
298,-588.9186101727697,339.6994821836706,-7.019170539517074
299,-654.9582609762776,339.2917447360551,-10.34495084951371
300,-951.983304558556,494.0344445712392,96.08221434283922
301,-664.0776812501114,328.431711671662,-14.456324352824534
302,-969.8760368550877,478.59661060895445,59.57632888732601
303,-654.485311860182,317.121947922934,14.480413350961488
304,-702.2224040527891,310.6428525608079,35.409468956399365
305,-863.2494738053269,425.9493908891641,42.6669325127351
306,-999.2859077428574,499.34696074800024,86.93743878995116
307,-1377.379037416448,733.840300841257,181.98376583047502
308,-990.7560574975054,499.8286620210856,102.51271164754871
309,-1384.1048927396537,828.5295333862305,235.1770400714595
310,-1310.4031978014104,708.1083133369684,189.26993454643525
311,-1416.5938491888712,759.450846131891,185.64336691983044
312,-1331.9770064058152,709.6681634932756,178.22504654695513
313,-1365.0366190479465,684.4025023299445,152.61174662747337
314,-1173.202939364041,610.9982356560641,133.55703567019157
315,-1378.940146911107,776.4069948643446,186.23553709918633
316,-1150.5038686965827,624.5749708398936,146.1261563367276
317,-1193.4712801904373,664.5539318857474,172.83962760770885
318,-909.6633515170868,441.780042023398,83.53193091796129
319,-998.758923021266,551.5228050334822,119.99619861787482
320,-1062.1733364144036,580.4929456495629,137.8585605724291
321,-1152.0946721145456,631.6314361515664,161.62245860293666
322,-775.0931530583682,404.367182201843,73.77169449511015
323,-756.0494868185441,405.99972959852926,63.84138205924857
324,-957.6984079435612,496.0278685252391,93.35737960572189
325,-882.2032369155277,464.2584714116513,102.81873188546439
326,-731.8001042572822,391.46249239984127,65.38956855869483
327,-843.2633840200683,448.52450495358175,105.45123630961942
328,-784.5292770478851,399.5066327353435,82.75062347426775
329,-868.4751609445474,474.7111463421742,110.68806065119374
330,-1009.825317873076,570.2639536830953,144.3832905481836
331,-1130.5617288378132,640.2445543091243,170.66334558059432
332,-1206.7264421517862,675.3964131758789,173.9538108692216
333,-1477.131499876578,884.8260009368621,231.05157760602899
334,-1348.133271704092,784.4797436892986,200.1310603558086
335,-1413.4301711414757,818.9371214229614,218.06562500225846
336,-1358.26154028924,799.354209985584,214.41151232355696
337,-1438.8519872198162,829.4495774315429,214.3598808126982
338,-1561.702888875706,938.8097504477466,225.4591644628082
339,-1141.7265894407526,608.9713778420297,143.54208438509647
340,-1156.100451251001,611.7453561262569,140.6017086285255
341,-961.4968507463195,540.7097500730679,128.1500608625393
342,-1285.9732654538682,768.5660399633925,173.19785920670256
343,-1029.431947302926,656.1050364728767,135.13615351495943
344,-650.8768228368888,395.7479479926369,56.61607961328082
345,-690.0169521448015,405.45958157256246,40.71383764878192
346,-682.6679181003445,373.3239707814437,34.24642445102333
347,-405.2582060340983,255.02587335707722,-37.07743947218196
348,-619.5365800925113,354.8865396957425,8.774192580277443
349,-457.65389118124256,286.2090162109397,-34.294575535743405
350,-568.1892828840037,303.89332529764624,-6.469475334733726
351,-495.74761171379606,276.97869090432766,-16.74158749981992
352,-931.6028084705138,512.1142369780356,92.14807065409326
353,-592.3395064787835,314.8632260270346,-33.91323894598098
354,-944.0772192523942,470.7802829155867,62.70806408531634
355,-649.3797521202657,334.6806718447157,23.07339154187334
356,-746.1643330780242,338.9820525932172,24.7942323625242
357,-777.730460963749,393.0459049246274,40.076194263199895
358,-918.3292985180008,476.4218498482741,81.54706501721759
359,-1366.77548183064,762.6999249951914,192.05635821074247
360,-985.1826701266137,497.0757428277284,109.97337261546636
