ep,base_en,ql_a_en,en_sav_a_%,ql_b_en,en_sav_b_%,base_cost,ql_a_cost,ql_b_cost
1,570.96,645.07,-12.98,624.32,-9.34,139.114,154.91,125.62
2,603.18,671.4,-11.31,637.31,-5.66,131.754,154.477,121.984
3,693.88,738.88,-6.49,750.26,-8.13,192.833,203.617,188.915
4,598.3,627.82,-4.93,634.64,-6.07,140.041,144.604,134.35
5,633.9,687.47,-8.45,678.88,-7.1,174.718,184.21,172.441
6,404.67,425.84,-5.23,434.54,-7.38,74.561,81.179,72.939
7,525.53,559.37,-6.44,565.02,-7.52,124.921,125.479,120.933
8,534.09,594.6,-11.33,574.95,-7.65,129.604,140.582,129.113
9,586.46,638.65,-8.9,612.99,-4.52,156.731,169.1,148.653
10,435.62,424.93,2.45,448.89,-3.05,68.064,73.877,66.028
11,402.07,373.44,7.12,417.16,-3.75,72.808,73.548,72.926
12,414.46,451.39,-8.91,442.04,-6.65,80.143,84.206,73.601
13,404.56,447.85,-10.7,443.86,-9.71,100.083,106.202,97.222
14,339.34,375.71,-10.72,360.32,-6.18,58.024,67.447,53.86
15,428.26,443.34,-3.52,440.1,-2.76,100.531,101.313,99.667
16,359.06,364.96,-1.64,363.66,-1.28,76.945,82.238,72.12
17,441.44,451.55,-2.29,440.83,0.14,104.467,112.614,97.822
18,530.31,580.59,-9.48,554.76,-4.61,128.374,142.158,124.629
19,591.27,663.27,-12.18,618.64,-4.63,159.774,168.174,155.831
20,631.67,685.7,-8.55,676.38,-7.08,172.039,184.334,172.692
21,837.6,920.36,-9.88,873.34,-4.27,226.458,243.406,220.674
22,751.54,826.26,-9.94,798.26,-6.22,200.294,215.028,198.199
23,731.14,830.1,-13.53,800.06,-9.43,199.345,219.331,203.25
24,744.16,794.7,-6.79,783.03,-5.22,212.798,220.66,209.819
25,769.61,827.36,-7.5,820.65,-6.63,202.643,219.842,200.084
26,855.46,912.41,-6.66,891.45,-4.21,206.373,226.272,206.423
27,559.9,612.42,-9.38,609.43,-8.85,130.211,145.117,130.962
28,546.58,651.29,-19.16,603.27,-10.37,131.79,144.874,132.565
29,502.2,530.29,-5.59,534.29,-6.39,104.833,107.08,102.232
30,708.56,760.07,-7.27,733.73,-3.55,160.493,173.564,160.805
31,652.48,698.1,-6.99,656.54,-0.62,123.136,135.722,118.379
32,434.14,420.51,3.14,442.57,-1.94,49.085,52.802,44.871
33,410.77,403.32,1.81,439.26,-6.93,35.273,43.798,36.206
34,376.88,407.5,-8.13,375.56,0.35,30.849,41.348,33.869
35,297.64,265.78,10.7,288.86,2.95,-51.252,-45.81,-48.75
36,363.53,368.31,-1.31,352.48,3.04,-3.77,12.666,-5.388
37,298.21,289.77,2.83,325.37,-9.11,-47.722,-30.696,-49.403
38,320.5,345.97,-7.95,325.22,-1.47,-12.684,2.279,-15.09
39,269.04,275.21,-2.29,294.96,-9.63,-22.061,-12.539,-22.768
40,462.51,489.75,-5.89,510.28,-10.33,84.422,88.214,81.409
41,297.14,316.63,-6.56,336.08,-13.11,-30.612,-18.454,-32.476
42,423.88,504.68,-19.06,480.04,-13.25,52.431,73.72,58.078
43,320.08,325.41,-1.67,362.85,-13.36,9.53,16.756,8.873
44,309.42,373.27,-20.64,333.16,-7.67,19.863,35.831,22.699
45,368.27,377.54,-2.52,411.07,-11.62,34.806,47.48,32.2
46,479.22,527.55,-10.09,547.48,-14.24,75.993,88.324,73.678
47,664.55,747.99,-12.56,690.92,-3.97,178.0,191.207,167.295
48,477.56,504.03,-5.54,482.58,-1.05,102.251,111.424,95.139
49,780.08,853.36,-9.39,801.07,-2.69,237.219,251.371,222.775
50,654.51,733.51,-12.07,692.12,-5.75,179.484,190.916,164.915
51,672.93,736.81,-9.49,707.25,-5.1,180.072,183.329,169.249
52,641.32,707.54,-10.33,700.03,-9.15,168.569,180.957,167.307
