policy,episode,step,month,hour,energy_import,cost,load,solar_generation,soc,action_mean
fixed,1,1,8,1,4.665883344936368,1.0264943391642571,0.8511666655540466,0.0,0.0,0.0
fixed,1,2,8,2,2.9147168214162207,0.641237698327382,0.8345999717712402,0.0,0.0,0.0
fixed,1,3,8,3,2.3755667322635645,0.5226246861643791,0.8381666541099548,0.0,0.0,0.0
fixed,1,4,8,4,2.979900163682302,0.655578024685223,1.47843337059021,0.0,0.0,0.0
fixed,1,5,8,5,3.5377333562533053,0.7783013502966565,1.2561999559402466,0.0,0.0,0.0
fixed,1,6,8,6,3.1261833533644676,0.6877603200264275,1.8695166110992432,0.058016665279865265,0.0,0.0
fixed,1,7,8,7,1.7603500336408615,0.3872770108282566,0.80881667137146,0.44608333706855774,0.0,0.0
fixed,1,8,8,8,2.6775167882442474,0.5890536746010184,0.6159666776657104,1.1058833599090576,0.0,0.0
fixed,1,9,8,9,0.1298334002494812,0.02856336161494255,0.6272333264350891,1.8120999336242676,0.0,0.0
fixed,1,10,8,10,0.0,-0.2933845929801464,0.618066668510437,2.4278500080108643,0.0,0.0
fixed,1,11,8,11,0.0,-0.6374206766486168,0.6451333165168762,2.8510000705718994,0.0,0.0
fixed,1,12,8,12,0.0,-0.6491283159703016,0.7644333243370056,3.039299964904785,0.0,0.0
fixed,1,13,8,13,0.0,-0.5450279377400875,1.4322999715805054,3.00504994392395,0.0,0.0
fixed,1,14,8,14,0.0,-0.8949746415019035,1.9018332958221436,2.758699893951416,0.0,0.0
fixed,1,15,8,15,0.0,-0.6942247338593006,1.7299833297729492,2.3251001834869385,0.0,0.0
fixed,1,16,8,16,0.0,-2.186442084610462,1.3914333581924438,1.6897000074386597,0.0,0.0
fixed,1,17,8,17,0.0,-1.1885940441861749,1.0300999879837036,0.9704000353813171,0.0,0.0
fixed,1,18,8,18,1.9704836010932922,1.0640611872076988,1.3838167190551758,0.3289666771888733,0.0,0.0
fixed,1,19,8,19,2.999150026589632,1.6195410452783108,1.031916618347168,0.024933332577347755,0.0,0.0
fixed,1,20,8,20,7.019133579587937,3.7903322974863087,3.6039834022521973,0.0,0.0,0.0
fixed,1,21,8,21,12.032233457756043,2.647091380971908,5.008500099182129,0.0,0.0,0.0
fixed,1,22,8,22,8.375116686766837,1.8425256681084718,3.896216630935669,0.0,0.0,0.0
fixed,1,23,8,23,6.816500228816274,1.4996300413988841,3.5570833683013916,0.0,0.0,0.0
fixed,1,24,8,24,9.253525002892815,2.0357755352071134,1.4113333225250244,0.0,0.0,0.0
fixed,1,25,8,1,4.656950037254887,1.0245290171367714,0.9794166684150696,0.0,0.0,0.0
fixed,1,26,8,2,4.145891676932571,0.9120961871045825,0.9009749889373779,0.0,0.0,0.0
fixed,1,27,8,3,3.1205334468404473,0.6865173425096671,0.9224333167076111,0.0,0.0,0.0
fixed,1,28,8,4,3.1974001036008204,0.7034280221961335,0.9104833602905273,0.0,0.0,0.0
fixed,1,29,8,5,2.8246667487978954,0.6214266787750731,1.0103000402450562,0.0,0.0,0.0
fixed,1,30,8,6,3.0755167435854673,0.676613662391901,1.2976833581924438,0.05638333410024643,0.0,0.0
fixed,1,31,8,7,2.3599667996168137,0.5191926918923855,1.1922667026519775,0.438483327627182,0.0,0.0
fixed,1,32,8,8,0.1490168273448944,0.03278370574116707,1.2234666347503662,1.077699899673462,0.0,0.0
fixed,1,33,8,9,0.6280333399772644,0.13816732913255692,1.0826833248138428,1.7875666618347168,0.0,0.0
fixed,1,34,8,10,0.0,-0.5264122858643532,0.6676666736602783,2.3761332035064697,0.0,0.0
fixed,1,35,8,11,0.0,-0.6970370374619961,0.666100025177002,2.79325008392334,0.0,0.0
fixed,1,36,8,12,0.0,-1.1271112952381372,0.6456833481788635,3.0041332244873047,0.0,0.0
fixed,1,37,8,13,0.0,-0.9122153352946043,1.1646167039871216,2.9543333053588867,0.0,0.0
fixed,1,38,8,14,0.0,-0.3335931822657585,1.443583369255066,2.7246668338775635,0.0,0.0
fixed,1,39,8,15,0.0,-0.20670098811388016,0.8619499802589417,2.284916639328003,0.0,0.0
fixed,1,40,8,16,0.6928166151046753,0.3741209805011749,0.7617499828338623,1.6780834197998047,0.0,0.0
